matcher,modality,pair_id,identity1,identity2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
ORB,iris,MMU-Iris_genuine_31,40,40,23,19,0.8261,True,0.8261,True,True,1.3182
SIFT,iris,MMU-Iris_genuine_31,40,40,7,4,0.5714,True,0.5714,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_32,43,43,421,339,0.8052,True,0.8052,True,True,1.1525
ORB,iris,MMU-Iris_genuine_32,43,43,52,51,0.9808,True,0.9808,True,True,1.2783
SIFT,iris,MMU-Iris_genuine_32,43,43,7,7,1.0000,True,1.0000,True,True,0.6057
LoFTR_indoor,iris,MMU-Iris_genuine_33,6,6,497,400,0.8048,True,0.8048,True,True,1.4016
ORB,iris,MMU-Iris_genuine_33,6,6,8,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_33,6,6,5,4,0.8000,True,0.8000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_34,16,16,507,323,0.6371,True,0.6371,True,True,2.0293
ORB,iris,MMU-Iris_genuine_34,16,16,3,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_34,16,16,1,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_35,18,18,747,506,0.6774,True,0.6774,True,True,1.7440
ORB,iris,MMU-Iris_genuine_35,18,18,3,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_35,18,18,5,5,1.0000,True,1.0000,True,True,0.9224
LoFTR_indoor,iris,MMU-Iris_genuine_36,23,23,640,439,0.6859,True,0.6859,True,True,1.5522
ORB,iris,MMU-Iris_genuine_36,23,23,21,12,0.5714,True,0.5714,True,True,1.6718
SIFT,iris,MMU-Iris_genuine_36,23,23,17,15,0.8824,True,0.8824,True,True,0.9436
LoFTR_indoor,iris,MMU-Iris_genuine_37,2,2,304,172,0.5658,True,0.5658,True,True,2.0903
ORB,iris,MMU-Iris_genuine_37,2,2,15,7,0.4667,True,0.4667,True,True,0.2406
SIFT,iris,MMU-Iris_genuine_37,2,2,4,4,1.0000,True,1.0000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_38,11,11,840,611,0.7274,True,0.7274,True,True,1.1027
ORB,iris,MMU-Iris_genuine_38,11,11,44,41,0.9318,True,0.9318,True,True,1.3620
SIFT,iris,MMU-Iris_genuine_38,11,11,7,7,1.0000,True,1.0000,True,True,0.8249
LoFTR_indoor,iris,MMU-Iris_genuine_39,36,36,203,115,0.5665,True,0.5665,True,True,1.9110
ORB,iris,MMU-Iris_genuine_39,36,36,8,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_39,36,36,0,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_40,8,8,561,370,0.6595,True,0.6595,True,True,1.6121
ORB,iris,MMU-Iris_genuine_40,8,8,2,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_40,8,8,7,5,0.7143,True,0.7143,True,True,0.8168
LoFTR_indoor,iris,MMU-Iris_genuine_41,6,6,451,289,0.6408,True,0.6408,True,True,1.9118
ORB,iris,MMU-Iris_genuine_41,6,6,11,8,0.7273,True,0.7273,True,True,0.8607
SIFT,iris,MMU-Iris_genuine_41,6,6,9,5,0.5556,True,0.5556,True,True,0.5331
LoFTR_indoor,iris,MMU-Iris_genuine_42,24,24,533,393,0.7373,True,0.7373,True,True,1.6413
ORB,iris,MMU-Iris_genuine_42,24,24,8,5,0.6250,True,0.6250,True,True,0.5104
SIFT,iris,MMU-Iris_genuine_42,24,24,10,8,0.8000,True,0.8000,True,True,1.3593
LoFTR_indoor,iris,MMU-Iris_genuine_43,44,44,406,282,0.6946,True,0.6946,True,True,1.7174
ORB,iris,MMU-Iris_genuine_43,44,44,10,7,0.7000,True,0.7000,True,True,1.0157
SIFT,iris,MMU-Iris_genuine_43,44,44,9,6,0.6667,True,0.6667,True,True,0.5273
LoFTR_indoor,iris,MMU-Iris_genuine_44,9,9,198,151,0.7626,True,0.7626,True,True,1.5561
ORB,iris,MMU-Iris_genuine_44,9,9,15,7,0.4667,True,0.4667,True,True,1.5507
SIFT,iris,MMU-Iris_genuine_44,9,9,2,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_45,36,36,343,256,0.7464,True,0.7464,True,True,1.7368
ORB,iris,MMU-Iris_genuine_45,36,36,2,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_45,36,36,0,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_46,31,31,486,332,0.6831,True,0.6831,True,True,1.7695
ORB,iris,MMU-Iris_genuine_46,31,31,7,5,0.7143,True,0.7143,True,True,0.0858
SIFT,iris,MMU-Iris_genuine_46,31,31,0,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_47,32,32,250,133,0.5320,True,0.5320,True,True,2.1212
ORB,iris,MMU-Iris_genuine_47,32,32,29,16,0.5517,True,0.5517,True,True,2.0583
SIFT,iris,MMU-Iris_genuine_47,32,32,2,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_48,34,34,673,514,0.7637,True,0.7637,True,True,2.0358
ORB,iris,MMU-Iris_genuine_48,34,34,17,11,0.6471,True,0.6471,True,True,1.5917
SIFT,iris,MMU-Iris_genuine_48,34,34,8,6,0.7500,True,0.7500,True,True,1.0079
LoFTR_indoor,iris,MMU-Iris_genuine_49,17,17,703,595,0.8464,True,0.8464,True,True,1.7854
ORB,iris,MMU-Iris_genuine_49,17,17,19,10,0.5263,True,0.5263,True,True,1.1939
SIFT,iris,MMU-Iris_genuine_49,17,17,4,4,1.0000,True,1.0000,True,True,inf
LoFTR_indoor,iris,MMU-Iris_genuine_50,43,43,187,134,0.7166,True,0.7166,True,True,1.7311
ORB,iris,MMU-Iris_genuine_50,43,43,25,21,0.8400,True,0.8400,True,True,1.2225
SIFT,iris,MMU-Iris_genuine_50,43,43,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_51,33,33,569,402,0.7065,True,0.7065,True,True,1.5058
ORB,iris,MMU-Iris_genuine_51,33,33,43,35,0.8140,True,0.8140,True,True,1.6983
SIFT,iris,MMU-Iris_genuine_51,33,33,15,11,0.7333,True,0.7333,True,True,1.1789
LoFTR_indoor,iris,MMU-Iris_genuine_52,13,13,527,453,0.8596,True,0.8596,True,True,1.4741
ORB,iris,MMU-Iris_genuine_52,13,13,46,42,0.9130,True,0.9130,True,True,1.3096
SIFT,iris,MMU-Iris_genuine_52,13,13,20,17,0.8500,True,0.8500,True,True,1.1617
LoFTR_indoor,iris,MMU-Iris_genuine_53,18,18,672,554,0.8244,True,0.8244,True,True,1.6879
ORB,iris,MMU-Iris_genuine_53,18,18,1,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_53,18,18,5,5,1.0000,True,1.0000,True,True,0.8057
LoFTR_indoor,iris,MMU-Iris_genuine_54,12,12,816,684,0.8382,True,0.8382,True,True,1.1617
ORB,iris,MMU-Iris_genuine_54,12,12,10,9,0.9000,True,0.9000,True,True,1.4009
SIFT,iris,MMU-Iris_genuine_54,12,12,4,4,1.0000,True,1.0000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_55,37,37,793,606,0.7642,True,0.7642,True,True,1.7833
ORB,iris,MMU-Iris_genuine_55,37,37,0,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_55,37,37,4,4,1.0000,True,1.0000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_56,41,41,526,448,0.8517,True,0.8517,True,True,1.3432
ORB,iris,MMU-Iris_genuine_56,41,41,11,7,0.6364,True,0.6364,True,True,0.6862
SIFT,iris,MMU-Iris_genuine_56,41,41,6,5,0.8333,True,0.8333,True,True,0.5394
LoFTR_indoor,iris,MMU-Iris_genuine_57,7,7,715,498,0.6965,True,0.6965,True,True,2.1239
ORB,iris,MMU-Iris_genuine_57,7,7,8,6,0.7500,True,0.7500,True,True,0.4731
SIFT,iris,MMU-Iris_genuine_57,7,7,8,6,0.7500,True,0.7500,True,True,0.4208
LoFTR_indoor,iris,MMU-Iris_genuine_58,28,28,390,265,0.6795,True,0.6795,True,True,1.6183
ORB,iris,MMU-Iris_genuine_58,28,28,2,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_58,28,28,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_59,15,15,180,81,0.4500,True,0.4500,True,True,1.9242
ORB,iris,MMU-Iris_genuine_59,15,15,2,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_59,15,15,5,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_60,36,36,307,193,0.6287,True,0.6287,True,True,1.7953
ORB,iris,MMU-Iris_genuine_60,36,36,11,8,0.7273,True,0.7273,True,True,1.6189
SIFT,iris,MMU-Iris_genuine_60,36,36,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_61,20,20,252,193,0.7659,True,0.7659,True,True,1.2290
ORB,iris,MMU-Iris_genuine_61,20,20,0,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_61,20,20,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_62,44,44,507,427,0.8422,True,0.8422,True,True,2.0091
ORB,iris,MMU-Iris_genuine_62,44,44,24,17,0.7083,True,0.7083,True,True,1.1793
SIFT,iris,MMU-Iris_genuine_62,44,44,18,13,0.7222,True,0.7222,True,True,0.5470
LoFTR_indoor,iris,MMU-Iris_genuine_63,45,45,489,347,0.7096,True,0.7096,True,True,2.0172
ORB,iris,MMU-Iris_genuine_63,45,45,14,11,0.7857,True,0.7857,True,True,1.4522
SIFT,iris,MMU-Iris_genuine_63,45,45,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_64,11,11,652,437,0.6702,True,0.6702,True,True,2.4915
ORB,iris,MMU-Iris_genuine_64,11,11,4,4,1.0000,True,1.0000,True,True,0.0000
SIFT,iris,MMU-Iris_genuine_64,11,11,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_65,38,38,517,424,0.8201,True,0.8201,True,True,1.7674
ORB,iris,MMU-Iris_genuine_65,38,38,7,7,1.0000,True,1.0000,True,True,0.7183
SIFT,iris,MMU-Iris_genuine_65,38,38,4,4,1.0000,True,1.0000,True,True,inf
LoFTR_indoor,iris,MMU-Iris_genuine_66,41,41,610,487,0.7984,True,0.7984,True,True,1.6386
ORB,iris,MMU-Iris_genuine_66,41,41,18,15,0.8333,True,0.8333,True,True,1.5367
SIFT,iris,MMU-Iris_genuine_66,41,41,5,4,0.8000,True,0.8000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_67,29,29,529,335,0.6333,True,0.6333,True,True,2.5779
ORB,iris,MMU-Iris_genuine_67,29,29,12,9,0.7500,True,0.7500,True,True,1.4197
SIFT,iris,MMU-Iris_genuine_67,29,29,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_68,42,42,567,281,0.4956,True,0.4956,True,True,2.5792
ORB,iris,MMU-Iris_genuine_68,42,42,10,8,0.8000,True,0.8000,True,True,1.2732
SIFT,iris,MMU-Iris_genuine_68,42,42,4,4,1.0000,True,1.0000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_69,35,35,335,228,0.6806,True,0.6806,True,True,1.2260
ORB,iris,MMU-Iris_genuine_69,35,35,5,4,0.8000,True,0.8000,True,True,0.0000
SIFT,iris,MMU-Iris_genuine_69,35,35,4,4,1.0000,True,1.0000,True,True,inf
LoFTR_indoor,iris,MMU-Iris_genuine_70,33,33,517,388,0.7505,True,0.7505,True,True,2.0355
ORB,iris,MMU-Iris_genuine_70,33,33,25,18,0.7200,True,0.7200,True,True,1.1901
SIFT,iris,MMU-Iris_genuine_70,33,33,17,8,0.4706,True,0.4706,True,True,0.6320
LoFTR_indoor,iris,MMU-Iris_genuine_71,43,43,335,229,0.6836,True,0.6836,True,True,1.8785
ORB,iris,MMU-Iris_genuine_71,43,43,12,9,0.7500,True,0.7500,True,True,0.9613
SIFT,iris,MMU-Iris_genuine_71,43,43,1,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_72,21,21,498,348,0.6988,True,0.6988,True,True,2.0507
ORB,iris,MMU-Iris_genuine_72,21,21,13,8,0.6154,True,0.6154,True,True,0.4525
SIFT,iris,MMU-Iris_genuine_72,21,21,7,4,0.5714,True,0.5714,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_73,19,19,410,210,0.5122,True,0.5122,True,True,2.0332
ORB,iris,MMU-Iris_genuine_73,19,19,17,7,0.4118,False,0.4118,True,False,1.4341
SIFT,iris,MMU-Iris_genuine_73,19,19,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_74,37,37,475,318,0.6695,True,0.6695,True,True,2.0971
ORB,iris,MMU-Iris_genuine_74,37,37,0,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_74,37,37,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_75,20,20,366,256,0.6995,True,0.6995,True,True,1.8478
ORB,iris,MMU-Iris_genuine_75,20,20,4,4,1.0000,True,1.0000,True,True,inf
SIFT,iris,MMU-Iris_genuine_75,20,20,0,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_76,5,5,505,308,0.6099,True,0.6099,True,True,1.7702
ORB,iris,MMU-Iris_genuine_76,5,5,38,31,0.8158,True,0.8158,True,True,1.5058
SIFT,iris,MMU-Iris_genuine_76,5,5,9,7,0.7778,True,0.7778,True,True,1.5435
LoFTR_indoor,iris,MMU-Iris_genuine_77,28,28,702,670,0.9544,True,0.9544,True,True,1.1896
ORB,iris,MMU-Iris_genuine_77,28,28,20,19,0.9500,True,0.9500,True,True,1.1744
SIFT,iris,MMU-Iris_genuine_77,28,28,10,7,0.7000,True,0.7000,True,True,1.3504
LoFTR_indoor,iris,MMU-Iris_genuine_78,15,15,532,279,0.5244,True,0.5244,True,True,2.4096
ORB,iris,MMU-Iris_genuine_78,15,15,8,7,0.8750,True,0.8750,True,True,1.0988
SIFT,iris,MMU-Iris_genuine_78,15,15,5,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_79,23,23,443,342,0.7720,True,0.7720,True,True,1.8655
ORB,iris,MMU-Iris_genuine_79,23,23,8,6,0.7500,True,0.7500,True,True,0.0442
SIFT,iris,MMU-Iris_genuine_79,23,23,5,4,0.8000,True,0.8000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_80,30,30,210,122,0.5810,True,0.5810,True,True,2.2295
ORB,iris,MMU-Iris_genuine_80,30,30,2,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_80,30,30,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_81,37,37,728,532,0.7308,True,0.7308,True,True,0.9567
ORB,iris,MMU-Iris_genuine_81,37,37,1,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_81,37,37,1,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_82,12,12,580,350,0.6034,True,0.6034,True,True,2.0751
ORB,iris,MMU-Iris_genuine_82,12,12,7,5,0.7143,True,0.7143,True,True,0.6798
SIFT,iris,MMU-Iris_genuine_82,12,12,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_83,1,1,613,413,0.6737,True,0.6737,True,True,1.9957
ORB,iris,MMU-Iris_genuine_83,1,1,5,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_83,1,1,7,4,0.5714,True,0.5714,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_84,38,38,373,284,0.7614,True,0.7614,True,True,1.9478
ORB,iris,MMU-Iris_genuine_84,38,38,4,4,1.0000,True,1.0000,True,True,0.0000
SIFT,iris,MMU-Iris_genuine_84,38,38,5,4,0.8000,True,0.8000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_85,9,9,309,255,0.8252,True,0.8252,True,True,1.4926
ORB,iris,MMU-Iris_genuine_85,9,9,56,26,0.4643,True,0.4643,True,True,1.6945
SIFT,iris,MMU-Iris_genuine_85,9,9,7,4,0.5714,True,0.5714,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_86,45,45,897,629,0.7012,True,0.7012,True,True,1.4644
ORB,iris,MMU-Iris_genuine_86,45,45,25,19,0.7600,True,0.7600,True,True,1.1123
SIFT,iris,MMU-Iris_genuine_86,45,45,5,4,0.8000,True,0.8000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_87,34,34,375,211,0.5627,True,0.5627,True,True,1.6113
ORB,iris,MMU-Iris_genuine_87,34,34,7,4,0.5714,True,0.5714,True,True,0.0000
SIFT,iris,MMU-Iris_genuine_87,34,34,0,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_88,6,6,453,326,0.7196,True,0.7196,True,True,2.6030
ORB,iris,MMU-Iris_genuine_88,6,6,8,4,0.5000,True,0.5000,True,True,0.0000
SIFT,iris,MMU-Iris_genuine_88,6,6,10,6,0.6000,True,0.6000,True,True,0.6919
LoFTR_indoor,iris,MMU-Iris_genuine_89,32,32,460,312,0.6783,True,0.6783,True,True,0.9647
ORB,iris,MMU-Iris_genuine_89,32,32,22,15,0.6818,True,0.6818,True,True,1.4769
SIFT,iris,MMU-Iris_genuine_89,32,32,4,4,1.0000,True,1.0000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_90,39,39,798,558,0.6992,True,0.6992,True,True,1.5766
ORB,iris,MMU-Iris_genuine_90,39,39,17,14,0.8235,True,0.8235,True,True,1.2989
SIFT,iris,MMU-Iris_genuine_90,39,39,9,8,0.8889,True,0.8889,True,True,1.3433
LoFTR_indoor,iris,MMU-Iris_genuine_91,36,36,298,198,0.6644,True,0.6644,True,True,1.7237
ORB,iris,MMU-Iris_genuine_91,36,36,4,4,1.0000,True,1.0000,True,True,inf
SIFT,iris,MMU-Iris_genuine_91,36,36,1,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_92,25,25,495,354,0.7152,True,0.7152,True,True,1.6471
